specificEpithet,id,institutionCode,year,month,day,eventDate,stateProvince,county,references,lon,lat,geoclass,flowers,leaves,bbch.f,bbch.v,doy,bbch.v.scale,species,YEAR.hin
americana,25253314,CalBG,2017,5,2,5/2/17,Wisconsin,Richland County,https://midwestherbaria.org/portal/collections/individual/index.php?occid=25253314,-90.29,43.2169444,geo_referenced,Y,Y,65,10,122,3,americana,37
americana,20393157,PH,1939,4,29,4/29/39,Pennsylvania,Lancaster,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393157,-76.170507,39.754397,geo_referenced,Y,Y,65,10,119,3,americana,0
americana,11584055,IND,1911,5,14,5/14/11,Indiana,Delaware,https://midwestherbaria.org/portal/collections/individual/index.php?occid=11584055,-85.350891,40.341957,geo_referenced,Y,Y,65,17,134,5,americana,0
americana,24620562,COLO,2008,5,17,5/17/08,New Mexico,Colfax,https://midwestherbaria.org/portal/collections/individual/index.php?occid=24620562,-104.559959,36.885193,geo_referenced,Y,N,65,0,138,1,americana,28
americana,5129828,WIS,1958,5,10,5/10/58,Wisconsin,iowa,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5129828,-90.13356235,43.00165678,county_centroid,Y,Y,67,19,130,6,americana,0
americana,16192531,NCU,1941,4,10,4/10/41,South Carolina,darlington,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16192531,-79.94826747,34.33294575,county_centroid,Y,Y,65,9,100,2,americana,0
americana,5282433,WIS,1960,5,5,5/5/60,Wisconsin,sauk,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5282433,-89.9457378,43.4276711,county_centroid,Y,Y,65,17,126,5,americana,0
americana,21204169,EIU,1975,4,26,4/26/75,Illinois,Greene,https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204169,-90.5523,39.22811,geo_referenced,Y,Y,65,9,116,2,americana,0
americana,3849021,APSC,1985,4,20,4/20/85,Tennessee,stewart,https://midwestherbaria.org/portal/collections/individual/index.php?occid=3849021,-87.83561416,36.50061502,county_centroid,Y,Y,65,11,110,3,americana,5
americana,16912416,NCU,1963,4,13,4/13/63,Kentucky,henry,https://midwestherbaria.org/portal/collections/individual/index.php?occid=16912416,-85.12097967,38.43891795,county_centroid,Y,N,65,0,103,1,americana,0
americana,17027402,MCA,1980,4,15,4/16/10,Pennsylvania,Carbon,https://midwestherbaria.org/portal/collections/individual/index.php?occid=17027402,-75.607964,40.787872,geo_referenced,Y,N,65,0,106,1,americana,0
americana,219478,USU,1978,5,2,5/2/78,Utah,cache,https://midwestherbaria.org/portal/collections/individual/index.php?occid=219478,-111.7531422,41.72688282,county_centroid,Y,Y,63,11,122,3,americana,0
americana,20393169,PH,1938,4,30,4/30/38,Pennsylvania,schuylkill,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393169,-76.21570582,40.70656482,county_centroid,Y,Y,65,9,120,2,americana,0
americana,5250666,WIS,1891,5,10,1891-05-10,Wisconsin,green,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5250666,-89.60833395,42.68060504,county_centroid,Y,Y,65,17,130,5,americana,0
americana,20393126,PH,1899,5,4,1899-05-04,Pennsylvania,Delaware,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393126,-75.341927,39.988004,geo_referenced,Y,Y,65,17,124,5,americana,0
americana,12500753,WCUH,2003,4,19,4/19/03,North Carolina,jackson,https://midwestherbaria.org/portal/collections/individual/index.php?occid=12500753,-83.13992836,35.28356264,county_centroid,Y,Y,65,9,109,2,americana,23
americana,20393208,PH,1914,5,23,5/23/14,Pennsylvania,Lehigh,https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393208,-75.578449,40.556304,geo_referenced,Y,Y,67,17,143,5,americana,0
americana,5276880,WIS,1930,5,6,5/6/30,Wisconsin,rock,https://midwestherbaria.org/portal/collections/individual/index.php?occid=5276880,-89.07666033,42.67161866,county_centroid,Y,Y,65,15,126,4,americana,0
